GEO,LEG_FORM,INDIC_SB,NACE_R2\TIME	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Lithuania,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	2.11	5.93	0.00	5.84	-14.60	2.62	2.43
Luxembourg,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.81	2.11	4.82	0.75	-1.49	-0.19	2.56
Hungary,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-6.66	-5.37	-5.51	-6.79	-5.81	-3.34	-2.33
Malta,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	-4.78	-3.79	-4.89	0.25 b	-8.81
Netherlands,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	11.64	1.17	1.60	-0.93	-2.10	1.01
Austria,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	1.71	11.44 b	2.15	0.71	0.85	0.39	0.70	7.44 b	-5.06	-2.67 p
Poland,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.63	1.25	5.00	4.56	5.62	3.07	5.25
Portugal,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	-3.82	1.54	-0.95 b	-3.00	-5.14	-5.15	-6.49	-2.67	-1.11	-2.90
Romania,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-7.40	-8.37	-11.00	-0.68	-4.31	-5.06	-3.39
Slovenia,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	-2.79	-4.55	-3.58	-5.33	-4.92	-7.66	-7.12	-6.10	-5.69	-7.02
Slovakia,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-25.68	13.81	76.25	-4.15	-67.79	17.43	11.92
Finland,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-0.71	5.00	2.20	-2.24	-21.17 b	2.74	-3.16
Sweden,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-3.36	-1.34	4.42	-1.20	-22.38	-2.82	-4.08
United Kingdom,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-5.48	-6.71	-4.85	-6.33	-6.68	-7.11	-6.52
Norway,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	6.28	0.41	-0.16	-7.44	-9.14	-11.40	-10.21
Switzerland,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	-2.79 dp	-3.83
Former Yugoslav Republic of Macedonia, the,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	0.70	33.59	-1.23	32.26	-27.76	-3.42
Turkey,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	1.68	-1.43	-2.15	0.27
European Union (aggregate changing according to the context),Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	15.16 b	16.35 b	16.01	16.50	15.57	16.24	17.36	16.35 p
Bulgaria,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	36.07	26.01	21.18	27.66	28.71	29.45	28.45 p	33.74 p
Czech Republic,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	19.35	15.05	16.04	17.03	18.30	13.81	15.94 p	13.80 ep
Denmark,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	23.04	18.95	18.60	19.36	19.48	19.49 p	:
Germany (until 1990 former territory of the FRG),Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	17.12	17.83	16.01	15.29	16.33	16.56	14.69 p
Estonia,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.83	22.73	30.15	25.03	19.78	18.55 b	16.69	17.78 p
Ireland,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	18.29	18.95	14.04	15.22 ep	9.98 e	:	14.52 bep	9.03 ep
Greece,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	8.43 p
Spain,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	18.59	16.80	15.91	16.54	19.97	17.98	18.26	18.14 ep
France,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	7.46	10.15	11.76	11.90	12.31	6.29 b	6.07	5.55
Croatia,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	25.52	19.77	12.07	12.41 p
Italy,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	8.80	8.40	8.28	7.96	7.97	7.93	7.70 p	7.75 ep
Cyprus,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	6.17	9.48	12.44	11.89	11.05	13.65	14.32 p	:
Latvia,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	48.26	18.79	18.86	16.42	18.93	20.52	16.52	29.86 ep
Lithuania,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	14.14	18.17	23.42	15.63	24.48	8.01	11.15 p	17.99 ep
Luxembourg,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	13.48	14.67	13.88	14.74	13.98	12.49	11.75	12.94 p
Hungary,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	12.07	10.46	10.18	10.52	11.29	11.66	12.56 p	13.32 ep
Malta,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	17.65	7.99	17.66	14.47	23.94 b	14.03 p
Netherlands,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	19.84 b	:	19.08	14.68	16.49	17.39	17.11	14.43	14.68 p
Austria,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	14.20	14.17 b	15.32	14.70	15.07	14.67	14.36	13.29 b	13.60 p	13.93 p
Poland,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	10.69	11.04	10.31	12.61	12.06	15.24	15.17 p	: p
Portugal,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	16.88	16.31	17.95 b	16.03	15.09	14.43	12.81	14.18	15.75 p	14.19 ep
Romania,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	10.04	13.13	16.00	12.15	7.95	12.57	9.88 p	8.81 ep
Slovenia,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	15.55	14.03	14.86	14.17	16.83	16.46	16.89	11.31 p
Slovakia,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	73.85 p	15.13	17.59	54.62	15.41	14.96	34.13 p	33.99 ep
Finland,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	12.92	14.99	20.78	:	18.86 b	15.82 b	17.24	14.59 p
Sweden,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.16	13.33	13.10	12.32	11.99	14.97	15.65	15.15 p
United Kingdom,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.52	16.01	14.46	14.12	14.45	14.66	13.90	14.34 p
Norway,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	21.06	23.10	21.35	17.74	13.64	15.01	13.81 p	13.64 p
Switzerland,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	11.96	14.79	17.62	11.64	12.41 p
Turkey,Partnership, co-operatives, associations, etc.,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	24.53	:	:	30.74	30.75	29.28	: p
European Union (aggregate changing according to the context),Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	4.16 b	3.42 b	3.40	3.18	3.44	5.22	5.35	3.64 p
Bulgaria,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	21.12	9.72	9.66	15.68	12.85	13.62	13.11 p	20.50 p
Czech Republic,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.77	7.39	8.55	8.87	9.89	6.48	9.01 p	6.77 ep
Denmark,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	12.58	10.13	9.03	10.36	11.17	11.77 p	:
Germany (until 1990 former territory of the FRG),Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	7.55	7.63	7.52	7.13	7.03	7.39	6.46 p
Estonia,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.76	10.91	10.23	11.31	10.75	9.75 b	7.18	8.66 p
Ireland,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.27	11.69	8.86	10.06 p	4.56	:	8.16 bp	3.47 p
Greece,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	5.05 p
Spain,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.97	8.69	7.64	8.23	11.46	7.87	7.81	10.59 ep
France,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	3.61	3.58	3.39	3.36	3.21	1.12 b	1.06	1.14
Croatia,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	18.29	13.52	8.79	9.00 p
Italy,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	4.31	4.19	4.02	4.29	4.37	4.41	4.67 p	4.62 ep
Cyprus,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	3.60	7.05	9.07	10.11	7.89	9.42	: p	:
Latvia,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	40.02	7.97	5.12	8.17	8.74	10.30	4.81	19.97 ep
Lithuania,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.64	8.31	10.40	4.74	13.68	5.45	5.70 p	8.64 ep
Luxembourg,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.09	7.24	6.59	6.48	5.96	5.58	6.45	5.91 p
Hungary,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.08	7.57	7.62	8.10	9.04	7.00	8.62 p	8.24 ep
Malta,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	6.87	3.84	9.35	6.99	11.30 b	4.04 p
Netherlands,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	8.96	:	10.11	7.42	7.28	7.76	9.11	6.33	6.68 p
Austria,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	6.53	6.18 b	7.13	6.78	7.31	6.87	6.69	6.23 b	7.19 p	6.97 p
Poland,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	3.70	5.53	4.49	4.55	4.58	6.60	6.22 p	: p
Portugal,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	7.77	9.06	9.54 b	9.95	9.91	9.99	8.71	7.96	9.08 p	8.55 ep
Romania,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.19	11.63	13.70	10.92	6.29	11.19	7.79 p	5.73 ep
Slovenia,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.16	8.09	8.54	8.72	9.61	9.79	9.48	4.03 p
Slovakia,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	36.42 p	3.57	4.97	11.17	7.03	7.34	11.34 p	13.84 ep
Finland,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.95	7.24	8.58	:	10.28 b	7.22 b	8.11	8.30 p
Sweden,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.31	6.82	7.22	6.11	6.63	8.62	9.16	8.79 p
United Kingdom,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.31	9.85	8.84	8.51	9.46	8.90	8.54	9.16 p
Norway,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.68	8.45	8.56	6.19	6.51	8.59	8.22 p	6.62 p
Switzerland,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	8.35	8.03	6.46	8.70	11.13	6.58	8.37 p
Turkey,Partnership, co-operatives, associations, etc.,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	14.34	:	:	15.63	15.80	14.96	: p
European Union (aggregate changing according to the context),Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.85 b	1.80 b	1.78	1.79	1.92	2.88	3.01	: p
Bulgaria,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.49	3.81	2.27	5.64	2.24	19.03	2.13 p	: p
Czech Republic,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.04	0.76	0.75	0.76	0.82	0.43	0.59 p	: p
Denmark,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	6.77	4.29	3.56	4.20	4.06 p	: p	:
Germany (until 1990 former territory of the FRG),Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: e	1.30 e	1.28 e	1.13 e	1.03 e	1.14 e	1.00 e	: p
Estonia,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: c	: c	: c	2.24	1.26	1.50 b	0.69	: p
Ireland,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.56	2.49	1.84	1.93 p	1.25	:	1.48 bp	: p
Greece,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	: p
Spain,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.49	4.46	3.75	4.57	6.21	4.54	4.43	: p
France,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.54	2.09	1.55	1.64	1.41	0.74 b	0.38	0.67
Croatia,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	3.12	1.86	1.04	: p
Italy,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.54	2.19	1.69	1.94	2.07	1.98	2.06 p	: p
Cyprus,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.17	1.04	1.26	1.36	1.17	1.77	: p	:
Latvia,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.86	0.27	0.16	0.24	0.28	0.30	0.22	: p
Lithuania,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.81	: c	: c	0.97	2.76	1.16	: cp	: p
Luxembourg,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.23	: c	: c	0.29	: c	0.24	0.33	: p
Hungary,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.63	2.10	2.15	1.94	2.61	1.52	1.89 p	: p
Malta,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	1.13	0.72	3.02	: c	5.04 b	: p
Netherlands,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	2.22	: c	2.52	1.87	1.47	1.65	2.10	1.50	: p
Austria,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	1.87	1.72 b	1.93	1.71	2.01	1.94	1.66	1.45 b	1.64 p	: p
Poland,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.86	1.07	0.73	0.91	0.94	1.11	1.02 p	: p
Portugal,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: c	1.56	: bc	1.71	2.20	: c	1.88	: c	: cp	: p
Romania,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.08	1.53	1.48	1.16	1.86	1.97	1.41 p	: p
Slovenia,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.43	: c	: c	1.43	2.00	1.38	1.01	: p
Slovakia,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.03 p	0.57	: c	0.94	0.58	0.90	0.74 p	: p
Finland,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.93	0.98	0.88	:	2.28 b	3.10 b	2.97	: p
Sweden,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	7.17	5.20	5.28	4.63	5.04	5.11	5.33	: p
United Kingdom,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	6.30	6.52	5.57	5.57	6.53	: c	5.99	: p
Norway,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.85	0.94	0.81	0.55	0.64	0.79	0.68 p	: p
Switzerland,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	: p	: p	: p	: p
Turkey,Partnership, co-operatives, associations, etc.,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	8.39	:	:	12.83	13.10	14.94	: p
European Union (aggregate changing according to the context),Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	15.63 b	2.99	3.22	1.38	-0.52	0.55	1.12
Bulgaria,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	30.75	5.20	3.96	6.74	5.61	5.20	5.23
Czech Republic,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	7.65	6.91	5.88	4.38	3.22	5.59	1.24
